Date,RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,Home_Value,Mortgage_Rate,MEDIAN_HH_INCOME
2010-01-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,203751.4195027868,5.03,45261.0
2010-02-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,203528.4619877774,4.99,45324.083333333336
2010-03-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,202196.8797958135,4.97,45387.166666666664
2010-04-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,200876.0262995738,5.1,45450.25
2010-05-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,200495.01548073595,4.89,45513.333333333336
2010-06-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,200913.30452527563,4.74,45576.416666666664
2010-07-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,201057.7755740817,4.56,45639.5
2010-08-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,201180.1656972337,4.43,45702.583333333336
2010-09-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,200709.8256347347,4.35,45765.666666666664
2010-10-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,200667.7580652974,4.23,45828.75
2010-11-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,200509.463884136,4.3,45891.833333333336
2010-12-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,200745.719213887,4.71,45954.916666666664
2011-01-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,200669.6419181235,4.76,46018.0
2011-02-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,200806.8987747371,4.95,46214.0
2011-03-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,199920.86566028823,4.84,46410.0
2011-04-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,195804.79969671104,4.84,46606.0
2011-05-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,191234.30691718007,4.64,46802.0
2011-06-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,187367.3468247465,4.51,46998.0
2011-07-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,186882.7604491959,4.55,47194.0
2011-08-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,185163.92942434727,4.27,47390.0
2011-09-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,182779.6475629345,4.11,47586.0
2011-10-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,179897.21741317274,4.07,47782.0
2011-11-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,178291.4228872226,3.99,47978.0
2011-12-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,178093.06656179906,3.96,48174.0
2012-01-01,397274,3548,Greenfield,city,MA,MA,"Springfield, MA",Franklin County,177887.2635510064,3.92,48370.0
